iter	Passed	Remaining
951	10093	508
952	10104	498
953	10115	487
954	10125	477
955	10136	466
956	10148	455
957	10158	445
958	10170	434
959	10180	424
960	10191	413
961	10202	403
962	10214	392
963	10225	381
964	10237	371
965	10248	360
966	10259	350
967	10270	339
968	10281	328
969	10290	318
970	10300	307
971	10310	297
972	10321	286
973	10332	275
974	10343	265
975	10353	254
976	10365	244
977	10376	233
978	10386	222
979	10396	212
980	10407	201
981	10417	190
982	10428	180
983	10437	169
984	10447	159
985	10458	148
986	10470	137
987	10481	127
988	10491	116
989	10501	106
990	10512	95
991	10522	84
992	10532	74
993	10544	63
994	10556	53
995	10568	42
996	10581	31
997	10592	21
998	10602	10
999	10612	0
